element_count,p,average query distance,expected average query distance
50,0.5,13.6508551,13.28771238
50,0.367879441,14.07902549,12.21595776
50,0.25,14.8570321,12.62104571
50,0.125,18.5783864,16.19314032
100,0.5,14.53857014,15.28771238
100,0.367879441,15.70970183,14.10012714
100,0.25,16.78435768,14.62104571
100,0.125,21.82438022,18.85980698
200,0.5,15.67988445,17.28771238
200,0.367879441,16.97681272,15.98429653
200,0.25,18.21094394,16.62104571
200,0.125,22.34662923,21.52647365
500,0.5,18.29101818,19.93156857
500,0.367879441,18.23690754,18.47503297
500,0.25,20.97627691,19.2649019
500,0.125,26.58203539,25.05161524
1000,0.5,22.77556344,21.93156857
1000,0.367879441,19.26374892,20.35920236
1000,0.25,20.98253275,21.2649019
1000,0.125,26.58862086,27.7182819
